review_title,review_author,review_rating,review_comment
Great product,Ashutosh Gupta,5,Camera Awesome and overall mobile look is CoolREAD MORE
Brilliant,Salman khan,5,Just WOW!! Best in all segment!!READ MORE
Worth every penny,Flipkart Customer,5,CAMERA IS SUPERBREAD MORE
Best in the market!,Pratik Raj,5,Superb performance and well.READ MORE
Highly recommended,Flipkart Customer,5,Excellent product awesome camera super fastREAD MORE
Must buy!,Subham Roy,5,Awesome 😎🍫🥰READ MORE
Highly recommended,Rishabh Srivastava,5,Just Awesome Best phone forever and Good Gaming Experience and Battery life .Specially Camera superb ❤️❤️❤️READ MORE
Simply awesome,Rohith Menon,5,Best ❤️🔥🔥READ MORE
Brilliant,Dr Ch Ravi Shanker ,5,Awesome iPhone with best camera quality 48 megapixel is 👌READ MORE
Brilliant,Flipkart Customer,5,My first iPhone.. And full satisfied..READ MORE
