review_title,review_author,review_rating,review_comment
Great product,Ashutosh Gupta,5,Camera Awesome and overall mobile look is CoolREAD MORE
Brilliant,Salman khan,5,Just WOW!! Best in all segment!!READ MORE
Worth every penny,Flipkart Customer,5,CAMERA IS SUPERBREAD MORE
Best in the market!,Pratik Raj,5,Superb performance and well.READ MORE
Highly recommended,Flipkart Customer,5,Excellent product awesome camera super fastREAD MORE
Must buy!,Subham Roy,5,Awesome 😎🍫🥰READ MORE
Highly recommended,Rishabh Srivastava,5,Just Awesome Best phone forever and Good Gaming Experience and Battery life .Specially Camera superb ❤️❤️❤️READ MORE
Simply awesome,Rohith Menon,5,Best ❤️🔥🔥READ MORE
Brilliant,Dr Ch Ravi Shanker ,5,Awesome iPhone with best camera quality 48 megapixel is 👌READ MORE
Brilliant,Flipkart Customer,5,My first iPhone.. And full satisfied..READ MORE
Excellent,Debasish Rout,5,"Upgraded from XR to 14 pro, amazing phone with advanced features limited to just pro models, stock availability is too low. Got mine by luck!If youre upgrading from iPhone 11 /11 pro  and below you'll love the updateREAD MORE"
Brilliant,Avijyoti Pal,5,Worth upgrading from iPhone 11 to iPhone 14 Pro 😊READ MORE
Perfect product!,Susovan Mondal,5,Awesome. Just loving it.READ MORE
Delightful,Upendra Singh,4,Mind blowing performance.READ MORE
Fabulous!,Abhishek  Yadav,5,More than expected! Battery backup has exceptionally increased ⚡️Absolutely over priced but worth it🔥READ MORE
Brilliant,Abhishek  Rajput,5,"Earlier I had plan to go with S23+ but buying a iphone is a personal preference, i hve gone through lots of reviews and i came to the conclusion that as a IT person I/we look for smother and faster performance so iphone is significantly better than android. I would rate s23+ 10/10 and even iphone 14 pro 10/10 as the only difference i could see is the os.READ MORE"
Brilliant,Gautam Aggarwal,5,Fantastic product even though it's just an iterative upgrade to iphone 13 pro. The deep purple looks purple when the light hits the phone a certain way and it's beautiful. Dynamic island is very practical and useful. Hopefully it will get better when 3rd party developers start making use of it.Flipkart's delivery was quick and hassle free. The order was delivered on the launch date and was packed well.READ MORE
Highly recommended,karan sapra,5,Only buy if you want to show off nothing else in this phoneREAD MORE
Terrific purchase,Mukesh Choudhry,5,10 years of androids user.Last phone was k20 pro Coming android to iPhone its a learning curve in software department.Camera is goodDisplay is awesomeBattery is goodDesign n feel is superb.READ MORE
Wonderful,Aashish Gupta,5,Fantastic picture qualityREAD MORE
Value-for-money,siddhartha  soren,4,It is truly amazing IPhone☺️READ MORE
Terrific purchase,Suman Chattaraj,5,"Best mobile, There is no language to give a review, really amazing iphone 14proREAD MORE"
Just wow!,Neelendra  Singh,5,Worth the Money✨Brilliant life batteryThe wallpaper and customisation updates are awesomeThe camera clicks a very clear picEkart made a super fast delivery👍Thanks Ekart!READ MORE
Terrific,RISHAV  kumar,5,"Everything is premium never used a phone like this , camera quality is unbelievable feel like using more than DSLR.Thanks to Flipkart for delivery in 2 days onlyREAD MORE"
Classy product,Karthik Kommoju,5,iPhone 14 pro is definitely a premium device with exceptional camera and solid build quality with excellent design. The phone definitely weighs more compared to regular 13 and 14. The dynamic island is useful in many cases and some apps are making use of this feature really well with great animations especially swiggy. Loved the in hand feel of the mobile. Compact in size and easy to use with one handREAD MORE
Mind-blowing purchase,Akshay Barya,5,One of the great deviceREAD MORE
Brilliant,Omkar N,5,What to say!! I got my dream phone 👌🏻READ MORE
Value-for-money,Rohit Kumar,4,In love with the display 💜READ MORE
Fabulous!,Dr. Sujith  Babu,5,Premium feel... 10/10 satisfied.... Superbbb...READ MORE
Good choice,Flipkart Customer,4,Overall nice !READ MORE
Expected a better product,Akhilesh Verma,1,After 3 months of usage battery all of a sudden draining very fast and phone remain warm all the time.Not expected from iPhone.Planning to sell it now.bad experienceREAD MORE
Awesome,Subodh Kumar,5,Worth moneyREAD MORE
Wonderful,Vishnu T das,5,"My first pro model, upgraded from 12. Thank you flipkart for the discount price compared to shops.READ MORE"
Highly recommended,Charu Sharma,5,Just one word awsmREAD MORE
Great product,Sonu Kumar,5,Best camera phone in 2023READ MORE
Terrific,Sharanya Ramrshan r,5,The apple iPhone 14 pro is a pro star.READ MORE
Mind-blowing purchase,Rohit Modi,5,Awesome mobileREAD MORE
Really Nice,Vedant Rawas,4,"Here's some advice.. if u r a person who keeps everything organized, then don't buy this phone.. organizing in iPhone is a nightmare.. otherwise, everything is great in this deviceREAD MORE"
Excellent,SIDDHARTH GAUTAM,5,Working well and timely deliveredREAD MORE
Wonderful,Sarvesh Saxena,5,"Upgraded from iPhone 11 pro to iPhone 14 pro, awesome phone camera, Display quality good very fast delivery.⭐️⭐️⭐️⭐️⭐️READ MORE"
Brilliant,Sourabh Mishra,5,"Upgraded from 12 to 14 pro, display and camera both are awesome. Had to wait for deep purple a bit longer. Used only for a week as of now, can elaborate more about this after a month or so. But the phone is Just FABULOUS!READ MORE"
Brilliant,Nilkanth Deshpande,5,Super excellentREAD MORE
Excellent,Flipkart Customer,5,SuperREAD MORE
Classy product,Nur Selim Biswas,5,Best hand experience but battery could be more mhREAD MORE
Great product,Kuchu Harsha,5,My first iPhone. Loved it !!READ MORE
Nice product,Flipkart Customer,4,Touch and camera is unbelievable. other things are ok. Not felt so much difference from other iPhones.Drains battery very fast.READ MORE
Worth the money,Ravi,4,Similar as 13 proREAD MORE
Terrific,Milan Gurung,5,I'm glad tat i hav purchased its totally worthy .READ MORE
Must buy!,MANJEET SINGH,5,Nice phoneREAD MORE
Terrific,Manish Kant,5,Fast delivery and great performanceREAD MORE
Mind-blowing purchase,Minesh Desai,5,Amazing fast delivery. Best delivery experience with complete and satisfied device check upon delivery.READ MORE
Terrific purchase,Vimlaben Parmar,5,Nice and beautiful phoneREAD MORE
Super!,RK Satya,5,Camera RAW quality is outstanding. Superb quality. And the pro motion display is so smooth. Loved it.READ MORE
Wonderful,Chandan Prabhat,5,A Real ProREAD MORE
Perfect product!,Saikumar Reddy,5,GoodREAD MORE
Excellent,Flipkart Customer,5,Voice clarity is a problemREAD MORE
Highly recommended,Vaibhav Agrawal,5,Great and real product. Absolutely trustworthy seller with the best price drop available in the market.READ MORE
Just wow!,Deta Umpe,5,"Everything as expected, am lovin this beast. Happy customer!READ MORE"
Brilliant,Rahul Chikane,5,Quite heavy from other I phone seriesREAD MORE
Wonderful,Flipkart Customer,5,Superb phone 👍🏼READ MORE
